nit_entidad,orden_entidad,num_contratos_r_2,num_contratos_r_3,val_contratos_r_2,val_contratos_r_3,val_contratos_media_r_2,val_contratos_media_r_3,val_contratos_median_r_2,val_contratos_median_r_3,val_contratos_desv_r_2,val_contratos_desv_r_3,num_familias_dif_r_2,num_familias_dif_r_3,num_grupos_dif_r_2,num_grupos_dif_r_3,num_contratistas_dif_r_2,num_contratistas_dif_r_3,r_cont_cerrada_2,r_cont_cerrada_3,pnum_ganadoras_r_2,pnum_ganadoras_r_3,r_adicion_tiempo_2,r_adicion_tiempo_3,r_adicion_cuantia_2,r_adicion_cuantia_3,IRCC,IRCCG,ine_coberturaNeta_r,ine_tasaDesercion_r_2,ine_tasaDesercion_r_3,ine_tasaRepitencia_r_2,ine_tasaRepitencia_r_3,ine_pruebaLecturaMatematicas_r_2,ine_pruebaLecturaMatematicas_r_3,ine_pruebaLecturaCritica_r_2,ine_pruebaLecturaCritica_r_3,inf_regaliaspc_m,inf_regaliaspc_m1_2,inf_regaliaspc_m1_3,inf_ingresos_m_r_2,inf_ingresos_m_r_3,inf_financiamiento_m_r_2,inf_financiamiento_m_r_3,inf_regaliaspc_m_r_2,inf_regaliaspc_m_r_3,inf_nproyectos_m_r_2,inf_nproyectos_m_r_3,inf_vproyectos_m_r_2,inf_igpr_m_r_3,inf_desempennofiscal_m_r_2,inf_desempennofiscal_m_r_3,inf_peducacion_m_r_2,inf_peducacion_m_r_3,inf_psalud_m_r_2,inf_psalud_m_r_3
800037021,5,300.38,-63.629999999999995,1.44,-8.68,-74.66000000000001,151.07,-96.84,2543.19,-51.15,98.52,164,-3.0300000000000002,0,0,685.29,-59.550000000000004,0,0,96.13708731355793,11.209552028632608,1,1,1,1,12.911423016417578,Bajo,-3.7800000000000002,0,-1.47,0,-17.62,0,2.32,0,2.33,23742.08,50288.235,0,14.940000000000001,0,-102.46,0,-52.790000000000006,0,57.14,0,-95.88,0,-3.54,0,-6.12,0,11.48,0
800037021,5,300.38,-63.629999999999995,1.44,-8.68,-74.66000000000001,151.07,-96.84,2543.19,-51.15,98.52,164,-3.0300000000000002,0,0,685.29,-59.550000000000004,0,0,96.13708731355793,11.209552028632608,1,1,1,1,12.911423016417578,Bajo,-3.7800000000000002,0,-1.47,0,-17.62,0,2.32,0,2.33,32882.58,0,23742.08,0,19.650000000000002,0,-6288.16,0,38.5,0,-9.09,0,11.81,0,1.29,0,-32.2,0,10.11
800037202,4,0,-15.83,0,60.49,0,90.67,0,69.69,0,168.35,0,-12.5,0,0,0,-14.16,0,0,0,1.9816957870055107,0,1,0,1,12.660377508919819,Bajo,0.37,22.29,0,-29.849999999999998,0,-0.27999999999999997,0,4.79,0,133059.855,623943.7150000001,0,-43.61,0,-35.4,0,-78.67,0,400,0,-48.97,0,-1.71,0,-6.77,0,4.41,0
800037202,4,0,-15.83,0,60.49,0,90.67,0,69.69,0,168.35,0,-12.5,0,0,0,-14.16,0,0,0,1.9816957870055107,0,1,0,1,12.660377508919819,Bajo,0.37,22.29,0,-29.849999999999998,0,-0.27999999999999997,0,4.79,0,191452.89,0,133059.855,0,40.54,0,137.20000000000002,0,43.88,0,-60,0,7.42,0,0.2,0,-12.97,0,17.5
800037202,4,0,-15.83,0,60.49,0,90.67,0,69.69,0,168.35,0,-12.5,0,0,0,-14.16,0,0,0,1.9816957870055107,0,1,0,1,12.660377508919819,Bajo,-10.47,0,-28.110000000000003,0,12.770000000000001,0,-1.79,0,-0.21,133059.855,623943.7150000001,0,-43.61,0,-35.4,0,-78.67,0,400,0,-48.97,0,-1.71,0,-6.77,0,4.41,0
800037202,4,0,-15.83,0,60.49,0,90.67,0,69.69,0,168.35,0,-12.5,0,0,0,-14.16,0,0,0,1.9816957870055107,0,1,0,1,12.660377508919819,Bajo,-10.47,0,-28.110000000000003,0,12.770000000000001,0,-1.79,0,-0.21,191452.89,0,133059.855,0,40.54,0,137.20000000000002,0,43.88,0,-60,0,7.42,0,0.2,0,-12.97,0,17.5
800037244,5,0,15.120000000000001,-37.46,545.16,-37.46,460.44,-38.67,69.17,-40.239999999999995,918.74,255.56,-9.379999999999999,0,0,-29.849999999999998,-14.89,1,1,-29.850746268656724,-26.069202664947344,0,1,0,1,25.345047217328172,Medio,-9.9,-29.29,0,-100,0,-10.2,0,-1.18,0,26141.415,51691.89,0,19.99,0,-325.38,0,-49.43,0,0,0,0,0,0.08,0,-7.13,0,0.49,0
800037244,5,0,15.120000000000001,-37.46,545.16,-37.46,460.44,-38.67,69.17,-40.239999999999995,918.74,255.56,-9.379999999999999,0,0,-29.849999999999998,-14.89,1,1,-29.850746268656724,-26.069202664947344,0,1,0,1,25.345047217328172,Medio,-9.9,-29.29,0,-100,0,-10.2,0,-1.18,0,29658.455,0,26141.415,0,30.669999999999998,0,79.2,0,13.450000000000001,0,0,0,-7.000000000000001,0,-1.04,0,-26.900000000000002,0,1.9900000000000002
800037244,5,0,15.120000000000001,-37.46,545.16,-37.46,460.44,-38.67,69.17,-40.239999999999995,918.74,255.56,-9.379999999999999,0,0,-29.849999999999998,-14.89,1,1,-29.850746268656724,-26.069202664947344,0,1,0,1,25.345047217328172,Medio,11.12,0,-22.52,0,0,0,7.41,0,5.55,26141.415,51691.89,0,19.99,0,-325.38,0,-49.43,0,0,0,0,0,0.08,0,-7.13,0,0.49,0
800037244,5,0,15.120000000000001,-37.46,545.16,-37.46,460.44,-38.67,69.17,-40.239999999999995,918.74,255.56,-9.379999999999999,0,0,-29.849999999999998,-14.89,1,1,-29.850746268656724,-26.069202664947344,0,1,0,1,25.345047217328172,Medio,11.12,0,-22.52,0,0,0,7.41,0,5.55,29658.455,0,26141.415,0,30.669999999999998,0,79.2,0,13.450000000000001,0,0,0,-7.000000000000001,0,-1.04,0,-26.900000000000002,0,1.9900000000000002
