nit_entidad,orden_entidad,num_contratos_r_2,num_contratos_r_3,val_contratos_r_2,val_contratos_r_3,val_contratos_media_r_2,val_contratos_media_r_3,val_contratos_median_r_2,val_contratos_median_r_3,val_contratos_desv_r_2,val_contratos_desv_r_3,num_familias_dif_r_2,num_familias_dif_r_3,num_grupos_dif_r_2,num_grupos_dif_r_3,num_contratistas_dif_r_2,num_contratistas_dif_r_3,r_cont_cerrada_2,r_cont_cerrada_3,pnum_ganadoras_r_2,pnum_ganadoras_r_3,r_adicion_tiempo_2,r_adicion_tiempo_3,r_adicion_cuantia_2,r_adicion_cuantia_3,IRCC,IRCCG
900081643,4,0,462.96,0,769.93,0,54.53,0,15.629999999999999,0,195.22,0,2700,0,300,0,268.42,0,0,0,-34.556786703601105,0,0,0,0,11.90499739700267,Bajo
900091143,6,-43.34,-96.58,-32,-99.63,20.01,-89.25999999999999,9.26,12.73,8.85,-99.1,147.62,-88.46000000000001,0,-50,-33.33,-95.24000000000001,0,0,17.66381766381766,39.28571428571428,0,0,1,0,26.371202118577802,Medio
900094475,5,0,8.37,0,97.45,0,82.19999999999999,0,58.28,0,21.69,0,2.94,0,0,0,18.63,0,0,0,9.465168181093574,0,1,0,1,6.623744965253961,Bajo
900108282,5,202.63,14.78,151.87,25.380000000000003,-16.77,9.24,-37.5,22.939999999999998,-1.94,0.9400000000000001,93.75,8.06,0,0,84.81,2.0500000000000003,0,0,-38.932305998899295,-11.088625985886258,0,0,0,0,6.75153457276528,Bajo
900109862,5,2466.67,-58.440000000000005,5273.530000000001,-61.46,109.35999999999999,-7.2700000000000005,4.7,0.61,712.73,4.78,450,-54.55,100,-25,750,88.24,1,1,-66.88311688311688,352.94117647058823,0,0,0,0,44.48589004027852,Alto
900113729,5,115.58,-20.05,214.42999999999998,-48.55,45.86,-35.66,0,-16.669999999999998,777.7,-86.09,76,-27.27,0,0,63.29,-34.11,0,0,-24.25422678587236,-17.587633059868445,0,0,0,0,10.287183936608114,Bajo
900121152,7,-18.459999999999997,21.65,43.769999999999996,20.330000000000002,76.32,-1.09,-7.290000000000001,61,974.03,-12.690000000000001,124.24,14.860000000000001,0,0,3.9699999999999998,11.78,0,0,27.51082025342859,-8.113289221445797,0,0,1,0,11.704333276168226,Bajo
900122524,5,56.35,-20.4,592.8,-61.370000000000005,343.10999999999996,-51.470000000000006,46.94,50.68,3212.59,-94.78,44.440000000000005,-38.46,300,0,88.51,-23.78,1,0,20.56902241948333,-4.251607814585611,0,0,0,1,19.077887172866095,Medio
900125582,5,0,95800,0,338829.35000000003,0,253.42,0,123.53,0,0,0,6900,0,300,0,24100,0,1,0,-74.76538060479666,0,0,0,0,8.339006155665738,Bajo
900125759-3,5,-26.06,0,-25.89,0,0.24,0,19.84,0,-15.68,0,280,0,33.33,0,-21.14,0,0,0,6.657337065173929,0,1,0,1,0,22.284220848581164,Medio
900126464,5,102.64999999999999,3.5900000000000003,121.11000000000001,-21.44,9.11,-24.16,-20.69,7.5200000000000005,642.07,-84.2,92,0,0,0,5.56,9.94,0,0,-47.91212781408859,6.126515025734691,0,0,1,1,8.743595700952454,Bajo
900126676,6,141.33,18.39,164.91,75.5,9.77,48.230000000000004,-0.38999999999999996,30.220000000000002,-11.82,139.79,50,-33.33,100,0,110.47,-6.08,0,1,-12.788239343133878,-20.66890292028415,0,0,0,0,4.295718493963379,Bajo
900126794,5,218.69,12.36,387.69,31.77,53.03,17.28,44.800000000000004,29.609999999999996,35.730000000000004,13.3,850,7.89,300,0,178.57,-8.33,0,0,-12.58772922798278,-18.417959567465925,0,0,0,0,8.102115653701045,Bajo
900127207,5,-14.499999999999998,233.04,195.67000000000002,8.76,245.82000000000002,-67.34,-30.65,108.52999999999999,1112.3200000000002,-94.72,300,-50,-50,0,-15.379999999999999,200,0,0,-1.0302197802197877,-9.919571045576403,0,0,0,0,19.108487830016564,Medio
900127211,5,82.06,-3.62,63.83,22.28,-10.01,26.87,-14.29,17.23,-27.29,47.96,172.73000000000002,-35,0,0,68.72,-26.82,0,0,-7.330899612165231,-24.06946249445531,1,1,1,1,5.9326562189554215,Bajo
900127853,5,-82.34,282.73,-90.83,773.3100000000001,-48.08,128.18,45.07,120.83,-90.08,104.03,-57.14,46.67,-25,33.33,-54.6,27.029999999999998,0,0,157.12214166201895,-66.81004044424472,0,0,0,0,17.124431754836895,Medio
900128655,5,-44.62,23.330000000000002,-75.79,58.48,-56.28999999999999,28.499999999999996,88.27000000000001,11.48,-97.52,58.32000000000001,-23.330000000000002,-95.65,0,-75,-4.07,-11.52,0,0,73.20736434108524,-28.25552825552824,0,0,0,0,18.635509650307853,Medio
900129296,5,-2.8000000000000003,8.63,-53.32,40.68,-51.970000000000006,29.5,-24,64.49000000000001,-72.22,-15.010000000000002,-6.25,-10,0,0,-14.29,0,0,1,-11.81911613566291,-7.947019867549654,0,1,1,1,9.255200141630198,Bajo
900129891,5,37.5,358.44,52.61,364.51,10.99,1.32,4.92,-6.25,-5.89,555.15,700,437.5,0,300,19.05,168,1,1,-13.419913419913431,-41.54107648725213,0,0,0,0,8.366206549308078,Bajo
900134497,5,10.17,-2.4699999999999998,33.989999999999995,32.06,21.62,35.410000000000004,28.050000000000004,27.400000000000002,0.76,47.75,24,112.9,-20,0,41.52,-2.8899999999999997,0,0,28.454208777253065,-0.43250688705233076,0,1,0,1,3.6338822286152737,Bajo
900134576,5,0,88.11,0,87.68,0,-0.22999999999999998,0,12.47,0,-41.11,0,36.36,0,0,0,27.779999999999998,0,0,0,-32.07352333746386,0,0,0,0,10.564442084310075,Bajo
900135676,5,217.51999999999998,5.9799999999999995,271.28999999999996,-7.21,16.93,-12.44,-34.78,0.2,189.19,-40.739999999999995,287.5,-24.19,0,0,90.28,-6.569999999999999,1,1,-40.07343550447,-11.838751048973183,0,1,0,1,10.172382412700676,Bajo
900136865,6,204.51000000000002,-23.7,437.23,11.03,76.42,45.53,-30.759999999999998,43.94,488,-1.9,47.22,3.7699999999999996,0,0,181.36,-14.46,0,0,-7.604101276417663,12.118376418294542,0,1,0,1,19.711497967646114,Medio
900136920,5,0,587.61,0,11561.81,0,1595.99,0,11.110000000000001,0,10116.87,0,185,0,0,0,122.08000000000001,0,1,0,-67.70295341723913,0,0,0,0,12.585335147594739,Bajo
900140292,4,0,57.07,0,-57.32000000000001,0,-72.83,0,24.67,0,-97.07000000000001,0,33.33,0,0,0,9.86,0,1,0,-30.056338028169016,0,0,0,0,27.916480352795794,Medio
900142446,5,-32.42,0,-41.78,0,-13.850000000000001,0,-30.830000000000002,0,-53.13,0,10.71,0,0,0,-4.02,0,0,0,42.022057507072,0,1,0,1,0,5.585047784725172,Bajo
