nit_entidad,orden_entidad,num_contratos,val_contratos,val_contratos_media,val_contratos_median,val_contratos_desv,num_familias_dif,num_grupos_dif,num_contratistas_dif,pnum_cont_cerrada,pval_cont_cerrada,pnum_ganadoras,IRCC,IRCCG,adicion
890985810,5,238,12761533948,53619890.537815124,13500000,132682993.71799164,6,3,123,0,0,51.68067226890757,24.361987724727754,Bajo,2.3474107141800444
891000499,4,571,3224827900,5647684.588441331,3066000,11357869.716460316,42,4,191,100,100,33.45008756567426,7.549068618486174,Bajo,7.420780186111413
891000736,5,1003,45817036121,45679996.13260219,11200000,162093252.01319388,98,4,258,0,0,25.72283150548355,18.410547180285725,Bajo,0
891079999,5,8888,158687481560,17854127.08820882,3900000,77028472.78282046,105,4,1301,22.74977497749775,17.393687675082163,14.637713771377136,3.0303444838911466,Bajo,16.571057956153982
891080015,6,2849,46496480637,16320281.023868024,4800000,47053802.67971735,51,4,606,48.36784836784837,53.494683331380934,21.27062127062127,4.402819864420031,Bajo,0.04947867181297923
891103889,5,388,2025481566,5220313.31443299,3000000,6001303.870101826,37,4,120,100,100,30.927835051546392,7.6763202970178135,Bajo,0
891103968,5,685,4310204136,6292268.811678832,3526700,10665546.69839357,62,4,183,0,0,26.71532846715328,7.362227885273589,Bajo,4.955859226134745
891180026,5,3154,169124245217,53622144.96417248,15000000,169518803.7605787,122,4,478,0,0,15.155358275206087,8.8914358758070815,Bajo,21.226388012581054
891180039,5,614,7974776023,12988234.56514658,5400000,24600406.846937396,21,4,208,0,0,33.876221498371336,8.29185158444708,Bajo,0
891180065,5,359,9869934653,27492854.186629526,6101000,64371744.66496525,33,4,90,88.85793871866295,93.70549039236886,25.069637883008355,34.463778239834475,Bajo,8.591583393889444
891180091,5,1237,9507573216,7685992.89894907,3300000,36285861.56937839,87,5,362,56.75020210185934,36.25446308632455,29.264349232012936,8.915071190860015,Bajo,0
891180098,6,9451,165901142311,17553818.888054173,6870100,118557347.29553384,166,4,1519,0,0,16.07237329383134,5.522678270664939,Bajo,16.182942758817287
891180113,5,1088,22767068057,20925614.02297794,8479400,49530272.053904794,104,5,282,0.3676470588235294,0.21156899904460985,25.919117647058826,13.221318443278758,Bajo,6.157875797737562
891180117,5,3060,103787823454,33917589.36405229,10000000,94706595.6867177,117,4,639,2.1241830065359477,0.5409720729415307,20.88235294117647,11.659873528064658,Bajo,7.214717283656818
891180134,5,4590,263626770510,57435026.25490196,7460000,287062024.3809706,165,5,437,0.3703703703703704,3.182309435711032,9.52069716775599,17.175497554111104,Bajo,4.824827783451683
891180147,5,687,9588735840,13957402.969432315,4031420,29112768.7742824,61,4,147,0,0,21.397379912663755,21.467784003771282,Bajo,0
891180159,5,814,5320064686,6535706.002457002,4320000,9677314.281665515,51,4,209,99.14004914004913,98.45546990779577,25.675675675675674,7.5867168966696505,Bajo,2.458788432925764
891180190,5,770,23116497685,30021425.564935066,6000000,177193091.73550734,101,4,171,0,0,22.207792207792206,23.180927206080657,Bajo,19.745146015571613
891180198,5,1603,14247882113,8888260.831565814,3516450,24776496.625639386,100,4,423,0,0,26.388022457891452,13.137280229396335,Bajo,0
