nit_entidad,orden_entidad,num_contratos,val_contratos,val_contratos_media,val_contratos_median,val_contratos_desv,num_familias_dif,num_grupos_dif,num_contratistas_dif,pnum_cont_cerrada,pval_cont_cerrada,pnum_ganadoras,IRCC,IRCCG,adicion,ine_coberturaNeta_m,ine_tasaDesercion_m,ine_tasaRepitencia_m,ine_tasaAnalfabetismo_m,ine_porcentajeAsistencia_m,ine_pruebaLecturaMatematicas_m,ine_pruebaLecturaCritica_m,inf_ingresos_m,inf_financiamiento_m,inf_desempennofiscal_m,inf_igpr_m,inf_nproyectos_m,inf_peducacion_m,inf_psalud_m,inf_regaliaspc_m,inf_vproyectos_m
890701078,5,572,10781437788,18848667.46153846,6200000,43508761.99641972,40,4,226,73.25174825174825,84.35453080406904,39.51048951048951,19.292896161825045,Bajo,0,8605.5,366,141.5,711,6793,4611.4,4836.6,21322060000,241620000,70.012,69.39875,3.5,8.323333333333334,49.5,17043.413333333334,1009098442
890701300,5,436,3584248097,8220752.516055046,6000000,11795841.825102605,43,5,151,0.22935779816513763,0.13949927194451128,34.63302752293578,7.381799039417904,Bajo,9.314745501394523,8753.333333333334,244.83333333333334,149.5,749,7014,4521,4646.6,17018791666.666666,2053673333.3333333,73.948,71.25875,2,7.59,40.678333333333335,38397.315,3028845488.72
890701353-2,7,5257,35140189159,6684456.7546128975,3370000,14172608.63302779,42,4,641,63.38215712383488,51.571354436942684,12.193266121361994,5.2042831507743115,Bajo,5.839134990518686,7823.166666666667,338.6666666666667,63.166666666666664,866,7116,4463.2,4663,36920131666.666664,1993353333.3333333,68.76,70.3175,13,8.463333333333333,53.89666666666667,406810.76333333337,7793471041.87
890701435,5,442,2502802609,5662449.341628959,3000000,15513751.227566028,39,3,131,0,0,29.638009049773757,12.083556987291132,Bajo,0,8708.833333333334,616.3333333333334,1.3333333333333333,611,7191,4552.6,4695.6,9884828333.333334,-1508070000,67.926,68.41749999999999,2.5,6.676666666666667,32.73166666666667,71771.95,473494916.065
890701490,5,271,1944485199,7175222.136531365,3864000,23546823.847847696,4,3,114,17.712177121771216,12.479529292626927,42.066420664206646,14.52826095578472,Bajo,0,11102.333333333334,436.6666666666667,61.166666666666664,1076,7720,4705,4777,12108816666.666666,1279396666.6666667,67.692,59.85125,4.5,7.048333333333334,36.64,116935.11,3215833682.7433333
890701543,5,227,1447025334,6374560.942731277,4500000,9350926.521815745,21,3,91,86.78414096916299,87.50735071788314,40.08810572687225,14.386418912746239,Bajo,0.1222259344135864,8696,361.6666666666667,15.666666666666666,989,7621,4821,4972.6,8684538333.333334,542771666.6666666,62.034,64.291875,1.6,7.085,37.30166666666667,57159.568333333336,1003700638.6133333
890701715,5,1406,11413090565,8117418.609530583,4000000,28668273.81299765,66,4,298,100,100,21.19487908961593,8.415712382711124,Bajo,0,8685.833333333334,317.8333333333333,131.16666666666666,853,6880,4355.4,4570.6,30641400000,1101880000,74.276,67.3275,2.5,9.963333333333333,55.98166666666667,34702.50833333333,638725571.9233333
890701718,5,3672,114058788338,31061761.529956426,10975000,59479456.51948584,91,5,770,98.06644880174292,83.86407139758441,20.969498910675384,11.056349443813914,Bajo,16.559648963337725,9164.666666666666,399.5,142.66666666666666,838,7207,4987.2,5169.6,36078188333.333336,-786593333.3333334,73.394,64.640625,1.4,10.395,56.288333333333334,11516.606666666667,955233534.33
890701922,5,221,5605615470,25364775.88235294,8930200,78985593.39804469,34,4,118,62.44343891402715,52.648169943058896,53.39366515837104,17.653415672428725,Bajo,0.5425221060505256,9187.833333333334,436.8333333333333,46,955,7108,4474.4,4733,17349940000,333858333.3333333,65.836,68.545625,2.6666666666666665,8.751666666666667,40.623333333333335,57698.725,3600639888.96
890702080,5,253,1957623835,7737643.61660079,5000000,8680614.889786158,30,4,89,0,0,35.177865612648226,8.801712969841876,Bajo,24.940126000679125,8320.666666666666,450.1666666666667,42,1073,6362,4576.2,4682.4,10897326666.666666,547340000,57.504,65.4075,2,7.708333333333334,35.56,42261.138333333336,25824107
