num_contratos_1,num_contratos_2,num_contratos_3,val_contratos_1,val_contratos_2,val_contratos_3,val_contratos_media_1,val_contratos_media_2,val_contratos_media_3,val_contratos_median_1,val_contratos_median_2,val_contratos_median_3,val_contratos_desv_1,val_contratos_desv_2,val_contratos_desv_3,num_familias_dif_1,num_familias_dif_2,num_familias_dif_3,num_grupos_dif_1,num_grupos_dif_2,num_grupos_dif_3,num_entidades_dif_1,num_entidades_dif_2,num_entidades_dif_3,b_cont_cerrada_1,b_cont_cerrada_2,b_cont_cerrada_3,pentidades_1,pentidades_2,pentidades_3,b_adicion_tiempo_1,b_adicion_tiempo_2,b_adicion_tiempo_3,b_adicion_cuantia_1,b_adicion_cuantia_2,b_adicion_cuantia_3,IRCC,IRCCG
14,155,55,41907759,367779861,120257993,2993411.3571428573,2372773.2967741936,2186508.963636364,1676568,1362374,1374450,2712835.4623360294,3185644.8142066346,3395543.834801795,4,16,8,1,3,2,2,8,7,0,1,1,14.285714285714285,5.161290322580645,12.727272727272727,0,0,0,0,0,0,30.509074392684713,Bajo
2,5,4,15192000,22505700,17304000,7596000,4501140,4326000,7596000,3250000,4326000,288499.5667241114,3689153.9000155577,145492.2678357857,1,3,1,1,1,1,1,3,1,1,1,0,50,60,25,0,0,0,0,0,0,75.1523606897347,Medio
1,2,0,7539107,11200000,0,7539107,5600000,0,7539107,5600000,0,0,1414213.562373095,0,1,2,0,1,1,0,1,2,0,0,1,0,100,100,0,0,0,0,0,0,0,35.378839171128064,Bajo
6,20,0,43088043,213593440,0,7181340.5,10679672,0,5142597,10000000,0,5558876.4157722285,7327927.8675644295,0,2,1,0,1,1,0,2,5,0,0,1,0,33.33333333333333,25,0,0,1,0,0,1,0,33.46966304616063,Bajo
2,3,0,4533711,37586682,0,2266855.5,12528894,0,2266855.5,13324863,0,716333.8175742507,4813295.894233078,0,1,1,0,1,1,0,2,1,0,0,1,0,100,33.33333333333333,0,0,0,0,0,0,0,68.36892320389168,Medio
0,1,9,0,5667000,90798000,0,5667000,10088666.666666666,0,5667000,5874000,0,0,8642912.529928785,0,1,2,0,1,1,0,1,2,0,0,0,0,100,22.22222222222222,0,0,0,0,0,0,54.3284101434365,Bajo
8,7,3,91091000,196851000,21838000,11386375,28121571.42857143,7279333.333333333,10650000,20401000,8400000,8557298.270857956,19657160.882293783,5960543.711217403,3,2,2,1,1,1,1,3,2,0,1,1,12.5,42.857142857142854,66.66666666666666,0,0,0,0,0,0,40.07820634870735,Bajo
18,7,4,233255040,202789128,129456054,12958613.333333334,28969875.42857143,32364013.5,10037280,24480000,24792000,8629519.61166403,22564618.97441292,19599802.0463659,3,2,2,1,1,1,2,3,2,0,1,1,11.11111111111111,42.857142857142854,50,1,1,1,1,1,1,49.79720776761106,Bajo
0,3,10,0,105000000,72000000,0,35000000,7200000,0,30000000,3500000,0,8660254.037844386,10325803.708294198,0,1,2,0,1,1,0,1,4,0,0,1,0,33.33333333333333,40,0,0,0,0,0,0,55.23091352870594,Bajo
0,6,10,0,38500000,116440874,0,6416666.666666667,11644087.4,0,5750000,6000000,0,2888194.360957494,10290589.383312462,0,3,3,0,1,1,0,3,3,0,0,1,0,50,30,0,0,0,0,0,0,57.876218094557515,Bajo
