id_contratista_std,num_contratos_r_2,num_contratos_r_3,val_contratos_r_2,val_contratos_r_3,val_contratos_media_r_2,val_contratos_media_r_3,val_contratos_median_r_2,val_contratos_median_r_3,val_contratos_desv_r_2,val_contratos_desv_r_3,num_familias_dif_r_2,num_familias_dif_r_3,num_grupos_dif_r_2,num_grupos_dif_r_3,num_entidades_dif_r_2,num_entidades_dif_r_3,num_HHI,val_HHI,r_cont_cerrada_2,r_cont_cerrada_3,pentidades_r_2,pentidades_r_3,pnum_ic1k,pval_ic1k,r_adicion_tiempo_2,r_adicion_tiempo_3,r_adicion_cuantia_2,r_adicion_cuantia_3
9005748311,-40,0,-67.34,0,-45.56,0,-40.52,0,-78.7,0,-80,0,0,0,-66.67,0,28.90625,27.223043916256888,1,0,-44.44444444444445,0,37.5,33.59045650982025,0,0,0,0
9005752664,-72.72999999999999,0,155.15,0,835.54,0,1032.86,0,506.82,0,-33.33,0,-33.33,0,-50,0,41.83673469387755,55.60412701627576,0,0,83.33333333333329,0,57.14285714285714,71.84271348543835,0,0,0,0
9005754741,0,-66.67,10.549999999999999,-96.66,10.549999999999999,-89.98,-75.14999999999999,-58.39,251.96999999999997,0,0,-50,0,0,100,-50,59.183673469387756,92.2905331316708,1,1,100,50.00000000000002,71.42857142857143,95.98398260898614,0,0,0,0
9005757260,0,-50,0,-30.31,0,39.37,0,46.39,0,557.4,0,-33.33,0,0,0,0,55.55555555555555,68.50541971865282,0,0,0,100,66.66666666666666,80.41826730654856,0,0,0,0
9005767186,0,-33.33,0,-24.62,0,13.08,0,146.4,0,-64.5,0,0,0,0,0,0,52,50.9849428197702,0,0,0,50.00000000000002,60,57.01763072471828,0,0,0,0
9005809622,0,42.309999999999995,0,67.97999999999999,0,18.04,0,-49.33,0,41.089999999999996,0,-11.110000000000001,0,50,0,-9.520000000000001,56.38470876566116,13.633054313938368,0,1,0,-36.42213642213643,74.74747474747475,22.471682411324622,0,1,0,1
9005835046,-23.080000000000002,-16.669999999999998,61.23,29.060000000000002,109.60000000000001,54.87,45.81,56.330000000000005,246.39000000000001,43.44,87.5,-6.67,0,33.33,0,100,75.64508827523765,74.29497510993528,0,0,30.00000000000003,140,86.17021276595744,85.15141579920189,0,0,0,0
9005837304,100,0,69.6,0,-15.2,0,-15.2,0,0,0,100,0,100,0,100,0,55.55555555555555,61.69729415597566,1,0,0,0,66.66666666666666,74.1839762611276,0,0,0,0
9005838072,-75,0,-98.64,0,-94.56,0,-93.01,0,0,0,0,0,0,0,-66.67,0,28,57.33534872029267,0,0,33.33333333333333,0,40,70.39526209797543,0,0,0,0
9005843954,-63.63999999999999,-50,-70.54,-11.85,-18.990000000000002,76.3,1.41,92.22,-79.25,-100,0,-75,0,-50,-25,-66.67,21.107266435986162,25.616210048275924,0,0,106.25,-33.333333333333336,29.411764705882355,38.03699118508953,1,0,1,0
9005846318,150,0,2045.5300000000002,0,758.2099999999999,0,287.64,0,0,0,100,0,0,0,100,0,75.51020408163265,99.1121652483026,0,0,-19.999999999999996,0,85.71428571428571,99.55409430526534,0,0,0,0
9005847181,-60,-50,-83.49,-42.1,-58.709999999999994,15.809999999999999,-66.78,15.809999999999999,-45.11,0,100,-50,0,0,0,-50,46.875,46.285117198527196,0,1,150,0,62.5,62.692306229267395,0,0,0,0
9005848170,-41.67,0,24.15,0,112.82000000000001,0,34.32,0,364.48,0,-20,0,0,0,-50,0,44.0443213296399,59.114482851225496,1,0,-14.28571428571428,0,57.89473684210527,73.43584414177363,0,0,0,0
9005863541,-50,-85.71,-49.08,-84.21,1.8399999999999999,10.549999999999999,1.5599999999999998,9.06,-26.27,0,50,-66.67,0,0,-50,0,76.44628099173553,77.36609392656072,1,1,0,600.0000000000001,86.36363636363636,86.99060281109293,0,0,0,0
9005875361,0,-81.82000000000001,-36.07,-94.97,-36.07,-72.33000000000001,-89.17,28.21,-14.82,-85.07000000000001,-33.33,-50,0,0,0,-50,50.34722222222221,84.23729643640849,0,0,0,174.99999999999994,54.166666666666664,91.37468817792376,0,0,0,0
9005877832,-33.33,0,-85,0,-77.5,0,-78.57,0,-71.89999999999999,0,100,0,0,0,100,0,68,84.12098298676749,0,0,200.00000000000006,0,80,91.30434782608695,0,0,0,0
9005889256,300,0,2173.79,0,468.45,0,493.40000000000003,0,374.62,0,200,0,0,0,100,0,54,89.49519512057937,0,0,-50,0,70,94.49927926815388,0,0,0,0
9005894591,0,-50,54.410000000000004,6.05,54.410000000000004,112.11,54.410000000000004,112.11,2338.08,0,100,-50,0,-50,100,-50,68,57.06233803892263,0,0,100,0,80,68.7914050019186,0,0,0,0
9005898213,-45.45,0,-36.199999999999996,0,16.97,0,8.799999999999999,0,-11.23,0,0,0,-33.33,0,-28.57,0,12.802768166089963,14.102930031161051,1,0,30.952380952380977,0,23.52941176470588,25.525825856188295,0,0,0,0
9005899060,-55.559999999999995,50,-75.18,-46.9,-44.16,-64.60000000000001,-46.86,-27.939999999999998,-29.049999999999997,-78.77,50,33.33,0,100,100,0,53.46260387811633,78.43474467455066,0,0,350,-33.33333333333335,63.1578947368421,87.70593101525982,1,0,1,0
9005911853,220.00000000000003,-25,189.89000000000001,75.01,-9.41,133.35,18.89,10.31,-25.080000000000002,312.92,133.32999999999998,-42.86,50,-33.33,100,0,60.330578512396706,64.17677601925969,0,0,-37.5,33.3333333333333,72.72727272727273,76.62402676085992,0,0,0,0
9005913763,100,0,39.34,0,-30.330000000000002,0,-30.330000000000002,0,0,0,100,0,100,0,100,0,33.33333333333333,34.89783032642422,0,0,0,0,33.33333333333333,41.78121095081222,0,0,0,0
