codigo_entidad,valor,anno,indicador
15774,6077,2014,ine_coberturaNeta
15764,11514,2014,ine_coberturaNeta
15763,7068,2014,ine_coberturaNeta
15762,8804,2014,ine_coberturaNeta
15761,7807,2014,ine_coberturaNeta
15759,10661,2014,ine_coberturaNeta
15757,10417,2014,ine_coberturaNeta
15755,9028,2014,ine_coberturaNeta
15753,11344,2014,ine_coberturaNeta
15740,8185,2014,ine_coberturaNeta
15723,10652,2014,ine_coberturaNeta
15720,6797,2014,ine_coberturaNeta
15696,9259,2014,ine_coberturaNeta
15693,8293,2014,ine_coberturaNeta
15690,7633,2014,ine_coberturaNeta
15686,9215,2014,ine_coberturaNeta
15681,6364,2014,ine_coberturaNeta
15676,6433,2014,ine_coberturaNeta
15673,8159,2014,ine_coberturaNeta
15667,9342,2014,ine_coberturaNeta
15664,6727,2014,ine_coberturaNeta
15660,6716,2014,ine_coberturaNeta
15646,8201,2014,ine_coberturaNeta
15638,8528,2014,ine_coberturaNeta
15839,12703,2014,ine_coberturaNeta
15837,9400,2014,ine_coberturaNeta
15835,10861,2014,ine_coberturaNeta
15832,7826,2014,ine_coberturaNeta
15822,9550,2014,ine_coberturaNeta
15820,9008,2014,ine_coberturaNeta
15816,7605,2014,ine_coberturaNeta
15814,8019,2014,ine_coberturaNeta
15897,9920,2014,ine_coberturaNeta
15879,7441,2014,ine_coberturaNeta
15861,8419,2014,ine_coberturaNeta
15842,5234,2014,ine_coberturaNeta
15162,8398,2014,ine_coberturaNeta
15135,5402,2014,ine_coberturaNeta
15131,9003,2014,ine_coberturaNeta
