codigo_entidad,indicador,valor,anno,mes
17380,Ingresos totales,56465310000,2014,12
17388,Ingresos totales,6293830000,2014,12
17433,Ingresos totales,17523630000,2014,12
17442,Ingresos totales,11235600000,2014,12
17444,Ingresos totales,12619350000,2014,12
17446,Ingresos totales,7458900000,2014,12
17486,Ingresos totales,21629430000,2014,12
17495,Ingresos totales,9893910000,2014,12
17513,Ingresos totales,11551960000,2014,12
17524,Ingresos totales,20080640000,2014,12
17541,Ingresos totales,16775360000,2014,12
17614,Ingresos totales,42433150000,2014,12
17616,Ingresos totales,9983250000,2014,12
17653,Ingresos totales,18103290000,2014,12
17662,Ingresos totales,21996340000,2014,12
17665,Ingresos totales,6702850000,2014,12
17777,Ingresos totales,21753050000,2014,12
17867,Ingresos totales,13779210000,2014,12
17873,Ingresos totales,26922240000,2014,12
17877,Ingresos totales,10199660000,2014,12
18001,Ingresos totales,475823660000,2014,12
18029,Ingresos totales,8387610000.000001,2014,12
18094,Ingresos totales,12919960000,2014,12
18150,Ingresos totales,35041050000,2014,12
18205,Ingresos totales,12121520000,2014,12
18247,Ingresos totales,16095610000,2014,12
18256,Ingresos totales,19820990000,2014,12
18410,Ingresos totales,16756990000.000002,2014,12
18460,Ingresos totales,16986509999.999998,2014,12
18479,Ingresos totales,7904230000,2014,12
18592,Ingresos totales,31240990000,2014,12
18610,Ingresos totales,17239980000,2014,12
18753,Ingresos totales,45342380000,2014,12
18756,Ingresos totales,19032600000,2014,12
18860,Ingresos totales,12596500000,2014,12
18785,Ingresos totales,34146540000,2014,12
41001,Ingresos totales,416608120000,2014,12
41006,Ingresos totales,25538980000,2014,12
41013,Ingresos totales,11552780000,2014,12
41016,Ingresos totales,47020460000,2014,12
41020,Ingresos totales,20139130000,2014,12
41026,Ingresos totales,5203600000,2014,12
41078,Ingresos totales,12653480000,2014,12
41132,Ingresos totales,23979460000,2014,12
41206,Ingresos totales,11573380000,2014,12
41244,Ingresos totales,6178000000,2014,12
41298,Ingresos totales,53047740000,2014,12
41306,Ingresos totales,30411160000,2014,12
41319,Ingresos totales,16027210000,2014,12
41349,Ingresos totales,8067310000,2014,12
41357,Ingresos totales,11464580000,2014,12
41359,Ingresos totales,27817200000,2014,12
41378,Ingresos totales,13329060000,2014,12
41396,Ingresos totales,43107760000,2014,12
41483,Ingresos totales,10600230000,2014,12
41503,Ingresos totales,13000080000,2014,12
41518,Ingresos totales,8214160000,2014,12
41524,Ingresos totales,35596890000,2014,12
41530,Ingresos totales,15560890000,2014,12
41548,Ingresos totales,12698900000,2014,12
41551,Ingresos totales,142543050000,2014,12
41615,Ingresos totales,17952020000,2014,12
41660,Ingresos totales,15814890000,2014,12
41668,Ingresos totales,32657660000,2014,12
41676,Ingresos totales,11545670000,2014,12
41770,Ingresos totales,18123420000,2014,12
41791,Ingresos totales,14229620000,2014,12
41797,Ingresos totales,12759980000,2014,12
41799,Ingresos totales,15274520000,2014,12
41801,Ingresos totales,8758950000,2014,12
41807,Ingresos totales,23045840000,2014,12
41885,Ingresos totales,20839710000,2014,12
41872,Ingresos totales,7653520000,2014,12
44001,Ingresos totales,323694100000,2014,12
44035,Ingresos totales,72067120000,2014,12
44078,Ingresos totales,89587940000,2014,12
44090,Ingresos totales,35386510000,2014,12
44098,Ingresos totales,12221310000,2014,12
44110,Ingresos totales,6727960000,2014,12
44279,Ingresos totales,31128890000,2014,12
44378,Ingresos totales,54197050000,2014,12
44420,Ingresos totales,5248190000,2014,12
44430,Ingresos totales,198598430000,2014,12
44560,Ingresos totales,59104150000,2014,12
44650,Ingresos totales,35681930000,2014,12
44847,Ingresos totales,229844920000,2014,12
44855,Ingresos totales,12044010000,2014,12
44874,Ingresos totales,19254620000,2014,12
47001,Ingresos totales,520399770000,2014,12
47030,Ingresos totales,11998170000,2014,12
47053,Ingresos totales,24104640000,2014,12
47058,Ingresos totales,11203100000,2014,12
47161,Ingresos totales,8763530000,2014,12
47170,Ingresos totales,20891020000,2014,12
47189,Ingresos totales,194932370000,2014,12
47205,Ingresos totales,10894090000,2014,12
47245,Ingresos totales,52935560000,2014,12
47258,Ingresos totales,16619779999.999998,2014,12
47268,Ingresos totales,19117060000,2014,12
47288,Ingresos totales,47293780000,2014,12
47318,Ingresos totales,31471790000,2014,12
47460,Ingresos totales,18730960000,2014,12
47541,Ingresos totales,14530550000,2014,12
47545,Ingresos totales,15719850000,2014,12
47551,Ingresos totales,25392210000,2014,12
47555,Ingresos totales,51131620000,2014,12
47570,Ingresos totales,20430420000,2014,12
47605,Ingresos totales,8629790000,2014,12
47660,Ingresos totales,22021640000,2014,12
47675,Ingresos totales,12832770000,2014,12
47692,Ingresos totales,25359250000,2014,12
47703,Ingresos totales,14264820000,2014,12
47707,Ingresos totales,21605090000,2014,12
47720,Ingresos totales,24936010000,2014,12
47745,Ingresos totales,22191400000,2014,12
47798,Ingresos totales,13759260000,2014,12
47980,Ingresos totales,46902470000,2014,12
47960,Ingresos totales,11013810000,2014,12
50001,Ingresos totales,494557200000,2014,12
50006,Ingresos totales,102728910000,2014,12
50110,Ingresos totales,20790120000,2014,12
50124,Ingresos totales,29119700000,2014,12
50150,Ingresos totales,85478740000,2014,12
50223,Ingresos totales,13567490000,2014,12
50226,Ingresos totales,20668870000,2014,12
50245,Ingresos totales,5607830000,2014,12
50251,Ingresos totales,13339910000,2014,12
50270,Ingresos totales,6190730000,2014,12
50287,Ingresos totales,12574780000,2014,12
50313,Ingresos totales,49806320000,2014,12
50318,Ingresos totales,29957570000,2014,12
50325,Ingresos totales,8042740000,2014,12
50330,Ingresos totales,15333740000,2014,12
50350,Ingresos totales,18087490000,2014,12
50370,Ingresos totales,10831330000,2014,12
50400,Ingresos totales,16624480000,2014,12
50450,Ingresos totales,15064640000,2014,12
50568,Ingresos totales,377510170000,2014,12
50573,Ingresos totales,42606110000,2014,12
50577,Ingresos totales,18013000000,2014,12
50590,Ingresos totales,23126470000,2014,12
50606,Ingresos totales,17374540000,2014,12
50680,Ingresos totales,20065940000,2014,12
50683,Ingresos totales,12027190000,2014,12
50686,Ingresos totales,4541880000,2014,12
50689,Ingresos totales,29837810000,2014,12
50711,Ingresos totales,31562240000,2014,12
19001,Ingresos totales,274031840000.00003,2014,12
19022,Ingresos totales,21035460000,2014,12
19050,Ingresos totales,25396280000,2014,12
19075,Ingresos totales,17034700000,2014,12
19100,Ingresos totales,37528790000,2014,12
19110,Ingresos totales,18690910000,2014,12
19130,Ingresos totales,32798720000,2014,12
19137,Ingresos totales,25194160000,2014,12
19142,Ingresos totales,23110900000,2014,12
19212,Ingresos totales,22615330000,2014,12
19256,Ingresos totales,40020680000,2014,12
19290,Ingresos totales,7598720000,2014,12
19300,Ingresos totales,20284600000,2014,12
19318,Ingresos totales,19197240000,2014,12
19355,Ingresos totales,26557560000,2014,12
19364,Ingresos totales,14410890000,2014,12
19392,Ingresos totales,11966300000,2014,12
19397,Ingresos totales,28405650000,2014,12
19418,Ingresos totales,14973310000,2014,12
19450,Ingresos totales,20824260000,2014,12
19455,Ingresos totales,26981920000,2014,12
19473,Ingresos totales,26571290000,2014,12
19513,Ingresos totales,10280660000,2014,12
19517,Ingresos totales,33753800000.000004,2014,12
19532,Ingresos totales,25300290000,2014,12
19533,Ingresos totales,15691040000,2014,12
19548,Ingresos totales,28445630000,2014,12
19573,Ingresos totales,28689880000,2014,12
19585,Ingresos totales,13054930000,2014,12
19622,Ingresos totales,12940010000,2014,12
19693,Ingresos totales,14607760000,2014,12
19698,Ingresos totales,56391210000,2014,12
19701,Ingresos totales,11528690000,2014,12
19743,Ingresos totales,24395800000,2014,12
19760,Ingresos totales,15374820000,2014,12
19780,Ingresos totales,18436780000,2014,12
19785,Ingresos totales,14335030000,2014,12
19807,Ingresos totales,26251620000,2014,12
19809,Ingresos totales,26309080000,2014,12
19821,Ingresos totales,22158490000,2014,12
19824,Ingresos totales,22400190000,2014,12
19845,Ingresos totales,22071030000,2014,12
20001,Ingresos totales,539681670000.00006,2014,12
20011,Ingresos totales,70012820000,2014,12
20013,Ingresos totales,38968670000,2014,12
20032,Ingresos totales,21518820000,2014,12
20045,Ingresos totales,71294840000,2014,12
20060,Ingresos totales,34398530000,2014,12
20175,Ingresos totales,30091680000,2014,12
20178,Ingresos totales,139059530000,2014,12
20228,Ingresos totales,28610470000,2014,12
20238,Ingresos totales,23676160000,2014,12
20250,Ingresos totales,26773070000,2014,12
20295,Ingresos totales,14389160000,2014,12
20310,Ingresos totales,10974020000,2014,12
20383,Ingresos totales,16311500000,2014,12
20400,Ingresos totales,213310490000,2014,12
20443,Ingresos totales,12993790000,2014,12
20517,Ingresos totales,19088740000,2014,12
20550,Ingresos totales,17473320000,2014,12
20570,Ingresos totales,25730920000,2014,12
20614,Ingresos totales,11796210000,2014,12
20621,Ingresos totales,26852870000,2014,12
20710,Ingresos totales,27085510000,2014,12
20750,Ingresos totales,27690640000,2014,12
20770,Ingresos totales,30141860000,2014,12
20787,Ingresos totales,15690270000,2014,12
23001,Ingresos totales,536675860000,2014,12
23068,Ingresos totales,58390060000,2014,12
23079,Ingresos totales,45988540000,2014,12
23090,Ingresos totales,29115210000,2014,12
23162,Ingresos totales,79769870000,2014,12
23168,Ingresos totales,14371090000,2014,12
23182,Ingresos totales,40965740000,2014,12
23189,Ingresos totales,54098930000,2014,12
23300,Ingresos totales,21760010000,2014,12
23350,Ingresos totales,37837060000,2014,12
23417,Ingresos totales,155714100000,2014,12
23419,Ingresos totales,39649510000,2014,12
23464,Ingresos totales,30905320000,2014,12
23466,Ingresos totales,137205209999.99998,2014,12
23500,Ingresos totales,29861750000,2014,12
23555,Ingresos totales,77739280000,2014,12
23570,Ingresos totales,42058080000,2014,12
23574,Ingresos totales,27677200000,2014,12
23580,Ingresos totales,44728980000,2014,12
