codigo_entidad,ine_coberturaNeta_1,ine_coberturaNeta_2,ine_coberturaNeta_3,ine_tasaDesercion_1,ine_tasaDesercion_2,ine_tasaDesercion_3,ine_tasaRepitencia_1,ine_tasaRepitencia_2,ine_tasaRepitencia_3,ine_tasaAnalfabetismo_3,ine_porcentajeAsistencia_3,ine_pruebaLecturaMatematicas_1,ine_pruebaLecturaMatematicas_2,ine_pruebaLecturaMatematicas_3,ine_pruebaLecturaCritica_1,ine_pruebaLecturaCritica_2,ine_pruebaLecturaCritica_3
19130,7735,7571.5,7199.5,348,340.5,283,209,116,138,1144,6588,4726.5,4575,4781,4647.5,4819,4919
19137,9651.5,9966,9340,387.5,288,186.5,22.5,10.5,9,1170,6731,4398.5,4129,4192,4416,4514,4446
19142,15369,16011.5,12747.5,234.5,205.5,178.5,83,36.5,54,797,7598,4386.5,4287,4324,4446,4685.5,4703
19212,7717,7403,8399.5,437,359.5,365.5,37.5,99.5,109.5,868,6641,4570.5,4440,4416,4573,4779,4718
19256,9015,8704.5,8388.5,368,311,231,127,100,84,1035,6711,4664.5,4569.5,4697,4644.5,4899.5,4904
19290,8332,8531,9385.5,174,201.5,190.5,105,92,78,911,7095,4774.5,5019.5,4753,4713,5124,4777
19300,0,0,7138,112.5,202.5,90.5,80.5,100,162.5,445,7281,4307,4055,3904,4218,4386.5,4304
19318,8469.5,8130,8405.5,319,293,134.5,0,0,2.5,1620,7411,4105,3850,3895,4143.5,4365.5,4357
19355,7288,7429,8413,396.5,351,187.5,114,104.5,159,1069,7224,4599.5,4581,4786,4568.5,4872.5,5000
19364,7499,7330,7547,369,281.5,190,263.5,40,13,1266,6926,4062,3862,3789,4051,4313.5,4134
19392,9034.5,8795,8726,472,356.5,209.5,114.5,166,67,961,6895,4556,4524.5,4601,4598,4821,4931
19397,3149,2882,4213,360.5,476.5,369.5,306,273,170.5,1016,6641,4652.5,4355.5,4265,4601,4666.5,4675
19418,9186.5,9452.5,9138,237,307.5,315.5,41.5,19.5,32.5,1488,7147,3848.5,3435,3369,3846,3993,3920
19450,7365.5,7193.5,6672,218.5,184.5,226,56.5,48,40,1147,6601,4751,4842,4849,4731,5002,4883
19455,5927,5832.5,7741.5,364.5,218,225.5,139.5,118.5,71.5,613,7053,4980,4848.5,4809,4866.5,5093.5,5079
19473,10236,10653.5,9212,650,380.5,394.5,71,62,42,1074,7054,4530.5,4507,4641,4587.5,4814.5,4842
19513,10009,9816,9282.5,530.5,148,262,0,0,14,446,6459,4282,4121.5,4028,4314.5,4578,4597
19517,8921,8703.5,7683,428,333.5,372.5,107.5,53.5,66,1108,7196,4328.5,4126.5,4253,4328,4530,4594
