codigo_entidad,ine_coberturaNeta_r,ine_tasaDesercion_r_2,ine_tasaDesercion_r_3,ine_tasaRepitencia_r_2,ine_tasaRepitencia_r_3,ine_pruebaLecturaMatematicas_r_2,ine_pruebaLecturaMatematicas_r_3,ine_pruebaLecturaCritica_r_2,ine_pruebaLecturaCritica_r_3
5579,10.05,0,-18.16,0,-30.520000000000003,0,-4.2299999999999995,0,-1.72
5585,-10.97,57.02,0,-15.7,0,-4.06,0,3.8899999999999997,0
5585,8.7,0,-17.349999999999998,0,-26.51,0,0.25,0,0.38
5591,-6.260000000000001,32.49,0,15.120000000000001,0,5.029999999999999,0,5.52,0
5591,14.430000000000001,0,-26.619999999999997,0,-13.99,0,-4.33,0,-1.49
5604,-4.31,6.15,0,-61.980000000000004,0,-6,0,-0.22999999999999998,0
5604,5.28,0,-4.95,0,6.63,0,3.56,0,3.44
5607,0.3,98.87,0,100.77000000000001,0,-1.63,0,2.1399999999999997,0
5607,-12.46,0,6.2700000000000005,0,42.91,0,-1.29,0,1.03
5615,-2.96,26.96,0,366.58,0,1.58,0,6.09,0
5615,9.48,0,-1.31,0,-55.14,0,1.7399999999999998,0,2.59
5628,-2.5100000000000002,53.11,0,17.990000000000002,0,-5.050000000000001,0,6.1,0
5628,-5.87,0,-36.34,0,-13.780000000000001,0,22.98,0,13.87
5631,4.130000000000001,-26.52,0,-37.63,0,-0.13,0,2.67,0
5631,-9.94,0,-21.55,0,-34.88,0,-1.92,0,0.77
5642,-5.88,26.08,0,9.01,0,4.74,0,8.959999999999999,0
5642,1.77,0,-12.629999999999999,0,-25.7,0,-1.8599999999999999,0,-0.8699999999999999
5647,-11.790000000000001,151.23,0,-49.54,0,0.53,0,9.76,0
5647,-10.209999999999999,0,-37.35,0,-8.84,0,-7.57,0,-4.8500000000000005
5649,-9.71,52.71,0,69.25,0,-1.26,0,3.7800000000000002,0
5649,10.71,0,-46.73,0,-10.459999999999999,0,2.44,0,0.9299999999999999
5652,-11.540000000000001,120.72,0,5.3100000000000005,0,8.1,0,3.56,0
5652,-5.2299999999999995,0,-43.09,0,-99.2,0,-0.18,0,2.98
5656,-10.02,-1.05,0,-48.84,0,-1.49,0,4.8,0
5656,-4.16,0,-45.660000000000004,0,20.32,0,5.390000000000001,0,3.3300000000000005
5658,-5.64,96.41,0,-90.75999999999999,0,-5.84,0,4.35,0
5658,-3.93,0,5.949999999999999,0,-55.559999999999995,0,-3.34,0,-6.88
5659,-5.59,133.61,0,-23.39,0,-4.9799999999999995,0,4.3,0
5659,7.090000000000001,0,-30.03,0,-26.05,0,0.66,0,0.66
5660,-3.7600000000000002,-23.21,0,-69.3,0,-0.62,0,5.390000000000001,0
5660,-7.739999999999999,0,-34.56,0,55.120000000000005,0,8.77,0,5.25
5664,-7.82,65.92,0,-67.74,0,-3.75,0,2.77,0
5664,20.4,0,-14.24,0,15.83,0,2.5,0,1.5699999999999998
5665,-6.18,0.9299999999999999,0,-12.030000000000001,0,-1.73,0,5.75,0
5665,-3.9600000000000004,0,-11.83,0,-33.239999999999995,0,0.96,0,-0.45999999999999996
5667,46.17,27.82,0,-58.46,0,-2.92,0,3.49,0
5667,-33.96,0,-39.290000000000006,0,-26.540000000000003,0,2.13,0,2.04
5670,-0.9900000000000001,20.810000000000002,0,36.04,0,-3.51,0,2.52,0
5670,-10.71,0,-33.61,0,-75.76,0,-3.4299999999999997,0,0.16
5674,-8.6,33.83,0,-18.83,0,2.54,0,7.359999999999999,0
5674,-8.709999999999999,0,-15.68,0,-59.919999999999995,0,-0.21,0,-0.3
5679,-13.059999999999999,21.62,0,-35.53,0,1.4500000000000002,0,6.1899999999999995,0
5679,-5.84,0,16.99,0,-17.560000000000002,0,-3.35,0,-3.84
5686,0.89,33.78,0,-38.190000000000005,0,0.02,0,4.7,0
5686,0.6799999999999999,0,1.8499999999999999,0,-6.1899999999999995,0,-0.4,0,0.06
5690,2.75,95.77,0,-9.46,0,-3.88,0,2.96,0
5690,-1.37,0,-15.25,0,-24.18,0,9.6,0,8.260000000000002
5697,-0.64,24.21,0,-22.11,0,-1.0999999999999999,0,3.4799999999999995,0
5697,-12.85,0,4.66,0,3.1,0,-1.44,0,-0.62
5736,-0.04,143.72,0,111.92,0,-6.34,0,2.9000000000000004,0
5736,3.29,0,-16.48,0,-16.189999999999998,0,-2.75,0,-0.25
5756,-1.8599999999999999,35.65,0,-58.089999999999996,0,0.7100000000000001,0,5.82,0
5756,-2.6599999999999997,0,-4.58,0,62.150000000000006,0,-2.03,0,-1.48
5761,-7.9799999999999995,-41.65,0,18.89,0,-2.03,0,4.47,0
5761,3.93,0,-11.799999999999999,0,22.74,0,2.4,0,3.4099999999999997
5789,-3.9600000000000004,25.259999999999998,0,25.740000000000002,0,-7.3999999999999995,0,1.04,0
5789,-6.950000000000001,0,-28.52,0,-66.36999999999999,0,-0.61,0,1.37
5790,-7.5200000000000005,63.65,0,109.96,0,-6.710000000000001,0,1.35,0
5790,2.97,0,5.800000000000001,0,-23.47,0,-0.7000000000000001,0,0.63
5792,-12.93,413.41,0,-97.71,0,-3.49,0,3.62,0
5792,9.22,0,-29.270000000000003,0,660.71,0,7.03,0,5.71
5809,-11.31,68.96,0,3904.4400000000005,0,0.95,0,7.5200000000000005,0
5809,12.04,0,-37.97,0,7.7700000000000005,0,2.82,0,4.89
5819,-7.62,-11.62,0,0,0,-4.38,0,4.35,0
5819,16.78,0,5.67,0,-96.63000000000001,0,-7.89,0,-5.140000000000001
5837,-3.01,62.93,0,163.94,0,-3.71,0,5.75,0
5837,9.84,0,-23.05,0,-77.91,0,-0.12,0,-1.0999999999999999
5842,-5.38,9.92,0,-90.69,0,-3.55,0,5.64,0
5842,4.55,0,-57.14,0,-72.52,0,-7.000000000000001,0,-2.65
5847,-10.13,103.27,0,38.39,0,2.53,0,7.8,0
5847,26.07,0,-24.97,0,-37.940000000000005,0,-7.430000000000001,0,-4.760000000000001
5854,-7.31,94.19999999999999,0,70.39999999999999,0,-1.8800000000000001,0,4.51,0
5854,8.99,0,-56.56,0,10.4,0,-4.32,0,-0.95
5856,-14.38,15.55,0,-100,0,-1.31,0,3.91,0
5856,12.57,0,21.87,0,0,0,-1.35,0,-2.68
5858,2.3,28.79,0,-26.919999999999998,0,-6.12,0,1.31,0
5858,-7.68,0,-29.79,0,65.96,0,2.5700000000000003,0,1.08
5861,-10.75,19.35,0,-21.41,0,2.27,0,6.2700000000000005,0
