codigo_entidad,inf_ingresos_m_1,inf_ingresos_m_2,inf_ingresos_m_3,inf_financiamiento_m_1,inf_financiamiento_m_2,inf_financiamiento_m_3,inf_regaliaspc_m_1,inf_regaliaspc_m_2,inf_regaliaspc_m_3,inf_nproyectos_m_1,inf_nproyectos_m_2,inf_nproyectos_m_3,inf_vproyectos_m_1,inf_vproyectos_m_2,inf_igpr_m_2,inf_igpr_m_3,inf_desempennofiscal_m_1,inf_desempennofiscal_m_2,inf_desempennofiscal_m_3,inf_peducacion_m_1,inf_peducacion_m_2,inf_peducacion_m_3,inf_psalud_m_1,inf_psalud_m_2,inf_psalud_m_3
5495,20186115000,26890155000,32080575000,379380000,-95160000,166465000.00000006,33889.945,36678.75,25403.09,1,9,0,0,0,53.42,60.207499999999996,58.92999999999999,64.285,71.35,11.59,11.625,8.09,51.07,52.425,53.415
5501,6851070000,5895015000,8565555000,223470000,-20310000,250175000,135878.54,17809.945,0,0,1.5,0,271331711,0,79.53333333333333,93.08,65.545,60.97,60.58,4.77,3.905,2.62,20.03,19.215,19.759999999999998
5541,18139890000,20871225000,26503880000,4971645000,-836485000,1364985000,91914.98999999999,22389.26,0,1,2.5,0,545428110,0,70.305,66.4725,70.09,70.83500000000001,72.47,7.605,7.455,6.125,50.965,51.355,54.355000000000004
5543,12379885000,14438815000,18517450000,286750000,-575730000,34060000,71306.975,32563.309999999998,93588.43,1.5,2,0,753146014,0,73.18833333333333,72.67625,63.94,62.39,63.31,7.68,5.775,3.8150000000000004,25.64,27.96,29.555
5576,10405735000,10481585000,22548010000,86075000,1519385000,432460000,125008.66500000001,122925.16500000001,1152258.08,1,2,2,663856293,0,53.14833333333333,68.63125,66.465,64.095,66.77,6.055,4.85,5.005,39.265,42.114999999999995,46.1
5579,31825570000,43134180000,56242730000,34428395000,-9106445000,-2988340000,91635.68,96770.47,179620.69,2,1.5,0,0,2818079879,42.86833333333333,70.09375,67.645,67.53,78.66,9.54,9.21,6.74,52.67,53.035,59.825
5585,24300010000,26222885000,31556590000,2439250000,-486860000,-3945285000,449597.32000000007,313186.225,549559.44,28,10,8,10196142525,1724415160.88,69.39833333333334,78.25875,76.22999999999999,72.12,70.39,8.504999999999999,7.325,6.32,37.129999999999995,35.625,39.22
5591,27031235000,23810375000,25280885000,511605000,8135235000,7199190000,263292.65,125462.135,84445.7,1,3.5,2,4999548796,710276526,66.06,64.8,74.225,76.07499999999999,72.23,8.68,9.34,6.54,38.705,35.475,37.68
5604,37430355000,43515150000,54910905000,-3509340000,-1746850000,-2245460000,208046.84999999998,102030.29000000001,42326.29,0,4.5,3,4200690946,0,72.398,67.09142857142858,74.39500000000001,72.405,71.33,11.715,11.265,8.879999999999999,48.775,47.425,54.935
5607,33486455000,43209270000,54167310000,-1245510000,-7588450000,6822360000,30483.16,0,0,1,3,0,185917624,0,74.34,89.11749999999999,86.64,85.845,87.29,10.67,10.79,8.14,28.244999999999997,27.115000000000002,27.535
