codigo_entidad,inf_ingresos_m,inf_ingresos_sd,inf_financiamiento_m,inf_financiamiento_sd,inf_desempennofiscal_m,inf_desempennofiscal_sd,inf_igpr_m,inf_igpr_sd,inf_nproyectos_m,inf_nproyectos_sd,inf_peducacion_m,inf_peducacion_sd,inf_psalud_m,inf_psalud_sd,inf_regaliaspc_m,inf_regaliaspc_sd,inf_vproyectos_m,inf_vproyectos_sd
68705,5680266666.666667,846838012.2471277,-102181666.66666667,1100598076.4369283,65.74000000000001,3.6580254236404643,77.08583333333333,18.01457575363165,2,NA,2.981666666666667,0.9158256748239082,14.681666666666667,1.5338893919271583,29916.295,60035.32287313253,988972176.48,777372033.680134
68720,8830606666.666666,2155602484.333943,277080000,2475100486.6469564,65.522,3.2850525109958295,66.44687499999999,9.838926384308062,3,NA,4.126666666666667,1.2945372403552813,23,2.472569513684095,36952.72,33395.45210500077,390339166,NA
68745,14377325000,2456641015.6207194,88113333.33333333,1343710574.4715514,74.048,3.8650446310489075,65.5725,5.091625068024287,6,NA,6.6466666666666665,1.5794767065919861,32.75333333333333,1.495963457664213,155580.87,103610.08968716396,2039315151.38,NA
68755,26944560000,3701245731.2423882,1934501666.6666667,3979620457.3824205,78.846,1.4222271267276547,70.894375,6.461190349244221,2.25,1.5,10.271666666666667,1.536729210585478,56.175,5.512918464842373,25365.353333333333,29241.196481569405,1757604559.13,1547666872.9763618
68770,14063630000,2116193575.9660552,-409465000,1449068981.0599082,65.11,1.740991097047885,50.3025,12.337489614990567,1.6666666666666667,1.1547005383792515,7.031666666666667,1.2512939968954806,36.596666666666664,1.972811868036753,66292.49,55698.296723764906,1932853568.43,NA
68773,11054786666.666666,2840368003.1197834,323911666.6666667,1230103154.4942346,66.234,3.134474437605128,70.79138888888889,11.92700461643117,2,1.4142135623730951,6.6066666666666665,2.226384213622318,30.513333333333332,1.732300974619211,55611.36,66601.81852146651,580064075,NA
68780,7282445000,1892401649.9120898,404685000,481926539.53688836,65.3,3.667887675488439,NaN,NA,NaN,NA,4.196666666666667,1.593783757812416,22.151666666666667,1.987001929205572,38164.926666666666,93484.59640407219,NaN,NA
68820,10255533333.333334,2606160870.2278275,-286013333.3333333,3775853511.43641,74.5,1.8320343883235362,69.669375,3.3082544333580675,2,1.4142135623730951,5.618333333333333,1.149807230220208,34.693333333333335,3.7289444440305988,60348.706666666665,58431.177602777665,368918078.21000004,39967799.66185064
68855,8671451666.666666,1898102958.4974222,-64453333.333333336,1817739514.7783597,67.922,1.410981927595103,75.225,4.503106643689938,1.75,0.9574271077563381,4.95,0.8650549115518622,31.115000000000002,2.70039811879656,54519.08333333333,52990.23867785072,348311235.5,492586473.17102903
68861,21149445000,3111476840.233589,2564460000,4313586205.926572,70.286,1.5773490419054346,69.6525,5.825059012576614,2.75,1.707825127659933,8.638333333333334,1.8634528882337398,42.58833333333333,2.0805135583952987,97839.655,52515.92418415875,655616624.23,927181921.7033311
68867,3651530000,794136288.2276568,-46656666.666666664,507310071.1662116,62.678,3.0400608546540675,67.736875,10.757584025351601,1.6666666666666667,1.1547005383792515,2.993333333333333,0.3259856847572707,13.353333333333333,1.8425923766982941,151611.3,77185.15272673753,905250022.96,NA
68872,12163210000,2111953601.2422242,-190431666.66666666,936586050.9406846,72.10000000000001,3.5085324567402787,76.31562500000001,3.6035210645284104,3,NA,4.455,0.9005054136428055,35.471666666666664,2.4492808468337546,95977.02,81511.50061569152,875157161.5,176434736.33593473
68895,11509800000,2839099652.2841535,344040000,868888061.2138712,69.8,3.2699235465068583,70.32666666666667,4.221742333839587,3.6666666666666665,2.516611478423583,6.79,1.2810308349138204,41.735,2.511762329520848,55768.22,73333.22257647949,220817850.025,312283598.3194231
70001,485665911666.6667,63992684488.98559,13112216666.666666,30577231686.17242,77.096,0.5234309887654687,60.14375,2.123342981401421,13.4,9.071934744033381,58.473333333333336,2.3816940749530917,31.313333333333333,3.801098086956803,129311.59333333334,62834.09201052616,11156342910.390001,16619696395.17165
70110,14117923333.333334,1600604155.294702,2465283333.3333335,3114168244.52801,63.540000000000006,8.441075168484167,65.566875,11.834502590413337,4,2.5495097567963922,6.371666666666667,1.0963287219929372,36.59,2.5513212263452845,93348.82333333333,90591.74675308091,1097568469.52,1815146369.6447892
70124,18116101666.666668,5060368737.2815695,5364675000,5703717570.454379,62.33,4.915612881421809,72.36,1.8236181983445239,3,2.160246899469287,8.063333333333333,1.7789959715150192,37.013333333333335,2.060860661633063,99211.805,140979.92265757514,658559387.3,580722457.8823878
70204,16203820000,2632563022.6758103,1345425000,2207305857.680353,62.93,4.59644971690108,73.006875,4.529230239510905,3.6666666666666665,3.0550504633038935,6.0633333333333335,1.0612759615984273,26.596666666666668,2.6467917686638414,479739.08666666667,293419.4443385073,1296467968.9033332,1168342246.0451517
70215,57440768333.333336,5364076095.882372,4001945000,4512344659.99551,72.37,2.300684680698335,60.86,8.700048132050766,6.75,4.193248541803041,12.286666666666667,2.3951506563610288,59.03666666666667,4.6917061573234395,87806.18833333334,66906.49988320758,3350306747.27,3940942264.6295304
70221,36304000000,12772733282.00507,10307060000,10455232167.8287,73.342,13.421891446439282,48.120000000000005,0.45463813449086543,8.5,6.027713773341708,8.84,1.6789997022036662,33.16833333333334,2.6809805420156754,787360.505,1163757.7633903502,10544344211.48,14911954590.205256
70230,10012725000,1666195807.3617878,802556666.6666666,2922651943.1342945,59.174,3.0804431499380054,66.075,6.380752633245287,2.6666666666666665,2.0816659994661326,4.248333333333333,0.8715828512922147,22.259999999999998,1.3254885891625023,193669.035,208421.75072498692,2059784909,NA
70233,16477996666.666666,2394554010.58875,-3430048333.3333335,5866729736.387783,64.62,4.8151583566898415,72.709375,6.628892684993981,2.8,1.9235384061671346,7.013333333333334,1.481494740681406,31.825,1.6558230581798288,235054.66666666666,195334.85243898045,1722315108.97,448180847.94521713
70235,30122628333.333332,6513311745.732478,4789221666.666667,6260504278.226848,65.564,3.3874075633144565,68.96,7.052754780934894,11.5,4.949747468305833,9.028333333333332,1.6510653126592743,47.39833333333333,3.2941184961483496,312924.6716666667,342086.21382123226,1065427682.3833333,1179878106.7289934
70265,21531070000,9211275742.327986,2544260000,6844007193.245782,64.31400000000001,6.612172865253905,73.913125,2.678483226722417,3.25,0.9574271077563381,8.463333333333333,1.961363471329745,38.711666666666666,3.1792037787261562,167974.27166666667,250447.28498362433,1681965960.93,1003072168.7038658
70400,18169368333.333332,3815896330.1767864,1314041666.6666667,1272082872.6056595,66.324,6.383716002454998,70.51125,7.651436820406129,3.3333333333333335,1.1547005383792515,8.621666666666666,1.2601335908016524,38.84166666666667,1.9727687818562694,139992.64666666667,93837.28322218577,1710407931.64,173903190.83583894
70418,35576770000,6485954405.063298,661430000,2373163612.370626,61.922,8.171423988510204,63.981875,3.437370830906477,13,11.789826122551595,8.606666666666667,1.5044821922065632,50.64666666666667,1.6942333566149215,496701.19166666665,299712.079049885,1444883138.4866667,1466426339.964263
70429,49779420000,9372363131.17028,3078073333.3333335,4703662903.039148,67.934,5.217324985085746,70.715,5.532567592598095,4.2,3.96232255123179,11.975,1.960568795018425,54.663333333333334,5.290019533675341,212403.72,359206.2149684448,2688667413.3566666,3446120734.5308304
70473,28404233333.333332,10152847817.091846,3445700000,6428550418.618493,59.728,3.8448107885824507,56.9925,3.4577816829098182,2.8,1.4832396974191326,6.826666666666667,1.228652378285521,43.373333333333335,4.1368716038410795,696774.8366666667,822559.5908660403,755531234.77,992445151.0937235
70508,30255908333.333332,5235799880.841194,1617075000,1734737482.2692914,65.06,6.6877088752426985,63.68375,2.9797514577561652,4.8,2.588435821108957,8.701666666666666,1.7176427645662142,51.71,1.4670241988460877,130639.685,84064.51128789598,1871426888.815,2646597287.1518593
70523,18967260000,3418536354.903952,1555100000,3560940311.3222775,59.974,9.83145106278824,69.384375,6.892469131535278,4.5,2.3804761428476167,7.88,1.2758996825769648,33.24333333333333,2.739296746733853,100000.36666666667,132371.309706416,820897313.6633333,1001630510.4297796
70670,52047023333.333336,9434963371.351616,998225000,7936150819.055167,69.75200000000001,4.022843521689605,71.775,6.1580242367174876,7.666666666666667,7.234178138070235,11.221666666666666,1.8508961793322354,54.675,3.230143959640189,192178.05666666667,121486.47409185545,4779882312.33,1511565544.4662197
70678,27677118333.333332,3323196759.2751207,480715000,2015336254.8096037,66.788,4.868497714901386,62.904375,5.834041043379223,4.2,2.8635642126552705,11.895,1.7161322792838551,53.26833333333333,2.8160640380976196,53197.3,73421.22161158448,49988106113.19,NA
70702,20246295000,2851121427.163354,866456666.6666666,4182974459.327557,68.354,4.8605791835953065,65.416875,6.262875529326231,4,4.358898943540674,6.985,1.2400120967151893,42.41833333333334,2.7412947062777957,164900.98,71294.83172453892,2501542509.536667,3122234977.5581384
70708,72345215000,11647424476.176268,5524776666.666667,3137472440.4122925,72.412,1.790256964795834,63.52625,3.5570039476128414,7.25,6.946221994724902,10.311666666666667,1.9912450041787093,63.781666666666666,4.5370669673993875,66863.59833333333,66952.71707545749,2741294039.636667,3237848338.3432884
70713,68406168333.333336,7347840691.769022,78976666.66666667,4879121576.475285,67.522,4.281474045232556,65.90125,5.623122093937968,7,3.4641016151377544,12.018333333333333,2.233243530532813,62.516666666666666,4.688763874057498,71881.60166666667,108214.02045724193,7187179422.055,2810283227.973667
