codigo_entidad,inf_regaliaspc_m,inf_regaliaspc_m1_2,inf_regaliaspc_m1_3,inf_ingresos_m_r_2,inf_ingresos_m_r_3,inf_financiamiento_m_r_2,inf_financiamiento_m_r_3,inf_regaliaspc_m_r_2,inf_regaliaspc_m_r_3,inf_nproyectos_m_r_2,inf_nproyectos_m_r_3,inf_vproyectos_m_r_2,inf_igpr_m_r_3,inf_desempennofiscal_m_r_2,inf_desempennofiscal_m_r_3,inf_peducacion_m_r_2,inf_peducacion_m_r_3,inf_psalud_m_r_2,inf_psalud_m_r_3
5264,104550.515,0,56851.27,0,24.95,0,-508.57,0,83.89999999999999,0,-77.78,0,14.77,0,6.61,0,-25.040000000000003,0,-3.95
5266,2.715,131.75,0,22.25,0,-209.14000000000001,0,-97.94,0,0,0,0,0,-2.33,0,1.63,0,-24.29,0
5266,1.225,0,2.715,0,9.78,0,-15.790000000000001,0,-54.879999999999995,0,0,0,0,0,1.72,0,2.6599999999999997,0,4.75
5282,40759.63,17580.135,0,12.29,0,-94.06,0,131.85,0,100,0,-38.66,0,-7.430000000000001,0,0.19,0,-2.6100000000000003,0
5282,22588.605,0,40759.63,0,26.33,0,-5119.39,0,-44.58,0,-50,0,9.64,0,28.599999999999998,0,-18.89,0,5.8999999999999995
5284,461.805,72342.175,0,25.55,0,1131.0600000000002,0,-99.36,0,100,0,0,0,-4.73,0,-23.51,0,9.35,0
5284,13606.355,0,461.805,0,23.25,0,-226.41,0,2846.34,0,0,0,25.21,0,2.54,0,-18.68,0,6.4
5306,55066.01,1011382.815,0,-20.330000000000002,0,-91.82000000000001,0,-94.56,0,100,0,0,0,-6.58,0,-5.11,0,-2.1399999999999997,0
5306,39088.29,0,55066.01,0,25.35,0,-1386.85,0,-29.020000000000003,0,0,0,-5.54,0,7.720000000000001,0,-34.57,0,10.39
5308,266.045,1597.565,0,22.82,0,-196.70000000000002,0,-83.35000000000001,0,0,0,0,0,-2.01,0,-3.63,0,1.7000000000000002,0
5308,34.879999999999995,0,266.045,0,25.52,0,-211.83999999999997,0,-86.89,0,0,0,0,0,1.68,0,-20.26,0,5.57
5310,15203.91,34411.020000000004,0,15.7,0,-74.16,0,-55.82,0,100,0,0,0,-7.86,0,-19.99,0,-0.43,0
5310,0,0,15203.91,0,36.82,0,-71.74000000000001,0,-100,0,-50,0,11.87,0,-1.06,0,-21.15,0,6.7
5313,5025.685,72120.34,0,4.36,0,23.830000000000002,0,-93.03,0,0,0,-58.620000000000005,0,2.03,0,-26.83,0,2.96,0
5313,374318.03,0,5025.685,0,89.27000000000001,0,-209.57,0,7348.0999999999995,0,-75,0,-4.96,0,5.319999999999999,0,-17.24,0,4.36
5315,0,72540.705,0,-10.08,0,-118.35,0,-100,0,0,0,0,0,-6.94,0,-23.52,0,0.21,0
5315,79023.06999999999,0,0,0,33,0,-629.43,0,0,0,0,0,2.98,0,0.64,0,-23.29,0,11.360000000000001
5318,15134.99,41607.655,0,9.76,0,27.21,0,-63.62,0,0,0,0,0,2.56,0,-7.6,0,-2.83,0
5318,26779.225000000002,0,15134.99,0,35.46,0,169.34,0,76.94,0,0,0,12.559999999999999,0,3.06,0,-15.27,0,8.12
5321,83984.035,104560.39499999999,0,2.93,0,-185.81,0,-19.68,0,0,0,0,0,-3.94,0,-5.6899999999999995,0,2.6100000000000003,0
5321,34894.38,0,83984.035,0,17.71,0,-77.03999999999999,0,-58.45,0,0,0,33.44,0,3.1199999999999997,0,-12.01,0,10.23
5347,63217.835,124760.43,0,-4.97,0,-10.13,0,-49.33,0,0,0,0,0,-10.07,0,-13.780000000000001,0,-4.8500000000000005,0
5347,0,0,63217.835,0,5.86,0,-80.06,0,-100,0,0,0,43.169999999999995,0,0.7100000000000001,0,-22.78,0,11.12
5353,53749.145000000004,240517.865,0,4.78,0,14.37,0,-77.64999999999999,0,100,0,0,0,-1.8399999999999999,0,-23.200000000000003,0,-7.55,0
5353,197537.445,0,53749.145000000004,0,23.13,0,-19.09,0,267.52,0,-50,0,7.359999999999999,0,-2.03,0,-13.089999999999998,0,1.71
5360,0.33,0,0,7.26,0,-108.48,0,0,0,0,0,0,0,-2,0,4.52,0,-12.45,0
5360,0,0,0.33,0,19.13,0,-128.64,0,-100,0,0,0,0,0,1.82,0,0.62,0,1.22
5361,9939.74,40729.815,0,7.6499999999999995,0,-145.33,0,-75.6,0,0,0,0,0,-1.37,0,-19.400000000000002,0,-1.51,0
5361,0,0,9939.74,0,20.14,0,-4675.44,0,-100,0,-33.33,0,31.169999999999998,0,4.15,0,-28.1,0,12.76
5364,38418.225000000006,103880,0,28.050000000000004,0,-94.33,0,-63.019999999999996,0,-50,0,-54.05,0,1.26,0,4.73,0,7.739999999999999,0
5364,27318.105,0,38418.225000000006,0,9.610000000000001,0,777.3,0,-28.89,0,0,0,7.33,0,-0.51,0,-26.82,0,3.05
5368,0,74514.125,0,-0.05,0,-150.76,0,-100,0,0,0,-33.52,0,-4.35,0,-16.75,0,0.5,0
5368,73329.915,0,0,0,36.96,0,15.110000000000001,0,0,0,0,0,6.329999999999999,0,9.24,0,-23.02,0,-3.38
5376,21696.515,27131.495000000003,0,41.06,0,72.35000000000001,0,-20.03,0,400,0,-36.84,0,0.7000000000000001,0,-1.59,0,1.2,0
5376,15132.04,0,21696.515,0,39.87,0,-42.63,0,-30.259999999999998,0,0,0,-3.16,0,2.53,0,-20.1,0,8.99
5380,751.78,755.78,0,28.12,0,-214.2,0,-0.53,0,0,0,0,0,-1.43,0,-12.989999999999998,0,-1.41,0
5380,3.395,0,751.78,0,29.65,0,-180.5,0,-99.55000000000001,0,0,0,0,0,1.08,0,-8.38,0,15.42
5390,36861.14,79067.64,0,52.23,0,249.00000000000003,0,-53.38,0,0,0,0,0,-1.9800000000000002,0,-9.06,0,-1.24,0
5390,17639.06,0,36861.14,0,-11.98,0,-116.19,0,-52.15,0,0,0,7.16,0,2.58,0,-18.82,0,14.26
5400,0,38176.405,0,-7.19,62.519999999999996,-59.5,218.52,-100,0,100,0,0,2.19,-1.5699999999999998,3,-7.3999999999999995,-19.08,-3.9800000000000004,7.21
5411,146130.105,204117.30000000002,0,12.08,0,-296.34999999999997,0,-28.410000000000004,0,-33.33,0,0,0,-3.9699999999999998,0,-16.950000000000003,0,1.71,0
5411,0,0,146130.105,0,-0.88,0,-245.17000000000002,0,-100,0,0,0,2.3800000000000003,0,3.27,0,-25.569999999999997,0,18.060000000000002
5425,397127.275,561479.87,0,15.440000000000001,0,-168.60999999999999,0,-29.270000000000003,0,0,0,-97.00999999999999,0,2.11,0,-0.65,0,-3.04,0
5425,400630.8,0,397127.275,0,14.499999999999998,0,115.91,0,0.88,0,-84.61999999999999,0,1,0,-8.44,0,-32.78,0,9.01
5440,13484.305,31115.305,0,30.769999999999996,0,-132.75,0,-56.66,0,0,0,0,0,0.5499999999999999,0,-4.49,0,-7.66,0
5440,22810.015,0,13484.305,0,22.470000000000002,0,-349.61,0,69.16,0,50,0,8.200000000000001,0,1.6,0,-22.7,0,5.07
5467,25193.515,103568.47,0,2.67,0,-97.97,0,-75.67,0,0,0,0,0,-7.7,0,-19.759999999999998,0,-2.86,0
5467,0,0,25193.515,0,-9.53,0,-426.41999999999996,0,-100,0,0,0,5.67,0,3.2800000000000002,0,-19.85,0,11.55
5475,41468.985,113912.71,0,-16.54,0,-130.39000000000001,0,-63.6,0,100,0,0,0,-7.66,0,-14.360000000000001,0,24.3,0
5475,325.065,0,41468.985,0,23.73,0,21.48,0,-99.22,0,0,0,9.25,0,-2.06,0,-10.17,0,27.060000000000002
5480,33120.6,91043.235,0,40.62,0,-97.31,0,-63.62,0,-33.33,0,0,0,-12.47,0,-8.94,0,3.6900000000000004,0
5480,0,0,33120.6,0,43.22,0,3361.9999999999995,0,-100,0,200,0,-5.21,0,27.35,0,-29.17,0,3.26
5483,11478.595,32813.8,0,20.43,0,-125.34,0,-65.02,0,350,0,-56.52,0,-3.08,0,-25.919999999999998,0,-1.4200000000000002,0
5483,4256.03,0,11478.595,0,26.11,0,-166.76999999999998,0,-62.92,0,0,0,-22.17,0,-10.01,0,-20.52,0,8.85
5490,55400.869999999995,79250.83499999999,0,20.19,0,-135.03,0,-30.09,0,0,0,16.259999999999998,0,0.8099999999999999,0,-10.09,0,5.19,0
5490,76714.045,0,55400.869999999995,0,16.46,0,-164.51,0,38.47,0,-84.61999999999999,0,-6.36,0,0.49,0,-24.19,0,9.43
5495,36678.75,33889.945,0,33.21,0,-125.07999999999998,0,8.23,0,800,0,0,0,9.09,0,0.3,0,2.65,0
5495,25403.09,0,36678.75,0,19.3,0,-274.93,0,-30.740000000000002,0,0,0,12.709999999999999,0,10.99,0,-30.409999999999997,0,1.8900000000000001
5501,17809.945,135878.54,0,-13.950000000000001,0,-109.09,0,-86.89,0,0,0,0,0,-6.98,0,-18.13,0,-4.07,0
5501,0,0,17809.945,0,45.300000000000004,0,-1331.78,0,-100,0,0,0,17.03,0,-0.64,0,-32.910000000000004,0,2.8400000000000003
