codigo_entidad,ine_coberturaNeta_m,ine_coberturaNeta_sd,ine_tasaDesercion_m,ine_tasaDesercion_sd,ine_tasaRepitencia_m,ine_tasaRepitencia_sd,ine_tasaAnalfabetismo_m,ine_porcentajeAsistencia_m,ine_pruebaLecturaMatematicas_m,ine_pruebaLecturaMatematicas_sd,ine_pruebaLecturaCritica_m,ine_pruebaLecturaCritica_sd
68745,9822.333333333334,913.1763612066766,344.1666666666667,93.68973618634362,102.83333333333333,24.94326896512698,1113,7542,4855.4,212.13274146156695,4949.8,316.0438260748025
68755,9500.166666666666,74.29513218688467,323.1666666666667,99.15728246914931,151.16666666666666,46.850471360133255,386,7580,5327.8,94.9089036919087,5320,181.0524785801067
68770,9726.333333333334,270.6138700559649,269.1666666666667,105.19014529254471,209.5,136.76366476517072,985,7149,5126.4,228.05657192898434,5082,284.1267322868441
68773,7764.833333333333,450.4350859631903,225.66666666666666,69.92472142716527,70.66666666666667,72.49183862109352,1004,7273,4976,185.57747708167605,4917.8,47.882146986115814
68780,10010.166666666666,834.5694498762022,250.5,139.11110667376636,203.33333333333334,113.42604051392549,677,6341,5515.2,349.9838567705659,5148.2,313.7055944671692
68820,8498.333333333334,562.5970731053146,234.5,160.96552425907853,53.833333333333336,62.22030751022263,639,6212,4972.2,178.9740204610714,5077.4,323.79515129167703
68855,10685.5,1347.6846441211683,245.83333333333334,160.3052296921927,181.33333333333334,54.96059194246971,958,6426,4983,133.50280895921253,4988.4,196.05687950184253
68861,8189,292.76953393411685,315,84.8669546996945,231.16666666666666,129.6571119016102,854,7337,5072.8,89.65879767206339,5102.4,158.8483553581843
68867,5472.833333333333,550.6666565778853,133.83333333333334,165.77746127464573,68.66666666666667,123.29098372008663,610,7813,4631.2,308.9420657663828,4785.4,245.24436792717586
68872,10695.166666666666,1529.012153864928,279,79.97249527181205,61.833333333333336,36.19622448083041,672,7432,5340.2,84.25378329784367,5234.8,142.95873530498233
68895,10960.666666666666,476.9560426985559,339.8333333333333,119.58330429732516,131.83333333333334,136.77487586054195,506,7605,5094.4,111.5831528502399,5113.4,230.8978128956617
70000,9672.833333333334,84.49950690191433,331.8333333333333,123.80858882430842,84.83333333333333,36.548141767628444,1241,7310,4765.8,26.071056748816304,4911.2,216.47332399166416
70001,9892.833333333334,205.02430750198053,297.5,83.34206620908795,71.16666666666667,15.791347841988241,NaN,NaN,5059.4,79.52232390970475,5187.4,236.3689911980842
70110,9032.5,249.34534284802675,577.6666666666666,297.1408195900837,379.6666666666667,397.3128070760703,1349,7246,4833.6,98.2130337582543,4804.2,285.2002805047709
70124,10080.5,1124.2926220517504,396,218.813162309766,33.5,32.22886904624486,1891,7388,4343,102.67180723061225,4547.4,197.6772622230488
70204,12066,1477.234578528407,271.8333333333333,279.1540196140236,495.3333333333333,436.4294521072869,1718,7678,4410.8,116.99658114663009,4687,267.19281427463574
70215,10441.5,266.21401165227945,300.8333333333333,157.87262798429202,58.166666666666664,39.610183875698766,943,7544,5036,104.42461395667212,5136.6,222.71798310868388
70221,9582.833333333334,188.65144225970462,345.6666666666667,180.21283713061806,252.83333333333334,184.777072892355,915,7207,4594.4,256.5702632808409,4832.6,353.68813946752584
70230,9169,344.3091633982459,375.3333333333333,191.82353001304784,320.6666666666667,410.0369089078039,2118,7256,4072.2,88.57031105285789,4510.6,265.45960144624644
70233,8425.833333333334,549.7786524290177,461.3333333333333,199.85661526871374,58.166666666666664,75.36953407489439,2233,6676,4813.6,224.340812158644,4749,292.71744054633984
70235,9044,179.4246359895987,368,191.26526082903817,62.333333333333336,26.14319541805605,1357,7290,4878,138.71733849811278,4979.4,310.1069170463632
70265,8654.166666666666,160.5944166733908,400.5,56.839247004160775,135.66666666666666,59.40594807480701,1542,7122,4301.6,110.93376402159984,4566,196.57695694053257
70400,9749.333333333334,263.13013257068576,153.5,146.20088919018244,35.833333333333336,19.041183436610936,1700,7713,4897.6,191.86662033819223,4937,164.87116182037414
70418,11083.666666666666,786.8493290755649,244,198.36834424877372,77,65.83919805100909,1454,7348,4592.2,34.85254653536811,4732.6,295.4543958041579
70429,10545,307.7401501266937,248.5,94.99842103950992,47,25.96150997149434,1502,6181,4141.6,129.67767733885427,4461.6,172.5581061555788
70473,7978.833333333333,178.35853404495862,299.8333333333333,186.26584943748188,41.833333333333336,44.18333018986535,1135,7349,4706.8,112.94998893315572,4883.6,189.01666593186962
70508,10289.833333333334,306.10090928755284,258.5,117.19342984997068,98.66666666666667,66.44897792040646,1852,7077,4475.6,113.54866797985787,4664.4,319.08666534344553
70523,8433.833333333334,365.1297942741275,185.83333333333334,219.03005881994065,82.33333333333333,63.55994545833615,1890,7054,4443.2,136.72856321924837,4486,226.74434943345335
70670,10462.5,533.5109183512556,259.3333333333333,142.75947137288884,42,44.01817806315931,1566,7097,4479.2,93.67870622505416,4645.4,188.00345741501673
70678,9192.833333333334,312.2841120945263,484,224.19099000628904,66.66666666666667,58.78321755966295,2119,7428,4177.4,170.20076380557168,4425.8,249.0054216277228
70702,9702.5,435.59281444945805,282.1666666666667,143.31422353230215,112.33333333333333,61.13809505264837,1493,7523,4631,128.0058592408957,4703.2,215.9298497197643
70708,9251.333333333334,57.80196075105642,474.3333333333333,96.01180482975344,43.833333333333336,32.39392947245929,1662,7071,4541.4,104.9895232868499,4757.4,177.34937270822246
70713,9329,294.8525055006316,389.5,136.47087601389535,83.5,69.78180278554001,2078,7002,4312.8,141.89326974877983,4503.4,116.74673442970472
70717,10836,820.9004811790526,311.3333333333333,133.45061508538154,214.33333333333334,183.79191132002154,1260,7329,4954.2,80.78799415754794,5011.8,236.18784896772314
70742,7909.833333333333,589.383548011536,471.6666666666667,132.4774194595693,125.66666666666667,110.72970092376602,1294,6964,5001.8,132.57337590934313,5037.6,246.39561684413138
70771,10024.166666666666,1088.6122205205427,335.5,206.0016990221197,46.5,34.233024990497114,1877,7392,4573.8,53.37789804778753,4670.8,178.65665394829267
70820,8678.166666666666,125.49329331349412,257.6666666666667,216.83326928003152,67.33333333333333,109.34105663778207,979,7176,4755.8,45.38391785643897,4891.8,254.4969547951409
70823,10415.666666666666,262.3651399608314,367.1666666666667,168.6800719310573,125.5,127.11530198996499,1304,7305,4658.8,139.6413262612469,4790.2,289.15687783623616
73000,8718.5,591.3018687607879,353.6666666666667,47.0517445656021,74.5,10.290772565750348,607,7101,4852.8,29.743906939069053,5022.8,149.424562907174
73001,8858.666666666666,808.6845285194138,285,41.866454351903265,46.333333333333336,8.16496580927726,NaN,NaN,5104.6,85.85918704483522,5275.4,168.61435288847744
73024,7937,551.5414762282162,292.8333333333333,116.24700712993288,8,12.409673645990857,854,7411,4870.2,158.6622198256409,5003.8,221.7852564982623
73026,8268.166666666666,526.9965528033999,476.3333333333333,53.94317998289188,89.66666666666667,66.1321908503466,1180,7095,4835.4,98.0321375876299,4905,140.95566678924263
73030,8358.833333333334,484.4012455255113,629.5,130.62120807893334,519.1666666666666,265.7505722790953,980,6491,4624.8,92.50243240045097,4654.8,122.39362728508377
73043,4820.333333333333,1481.4894757191719,460,123.82568392704317,16.5,18.16314950662467,1020,6652,4694,101.68824907529877,4868.8,150.5064782658873
