codigo_entidad,inf_ingresos_m,inf_financiamiento_m,inf_desempennofiscal_m,inf_igpr_m,inf_nproyectos_m,inf_peducacion_m,inf_psalud_m,inf_regaliaspc_m,inf_vproyectos_m
41885,24030468333.333332,-241356666.66666666,71.868,57.588750000000005,6.6,6.220000000000001,35.55,971161.3266666667,11487620293.783333
44001,361405526666.6667,-7716906666.666667,73.18,46.590625,13.6,62.955,24.053333333333335,139002.185,12641822143.33
44035,61181953333.333336,9527650000,75.69,48.28,8,9.751666666666667,40.855000000000004,988000.7983333333,8071901088
44078,59592326666.666664,-10018020000,65.818,60.101875,11.4,11.133333333333333,43.72833333333333,639352.6833333333,9248897462.133333
44090,41225186666.666664,-1016056666.6666666,75.008,56.13125,5,9.446666666666665,47.635,122613.94,3406720153.9166665
44098,20723528333.333332,-3425756666.6666665,60.68,75.933125,1.8,6.056666666666667,28.674999999999997,520534.99,331463198
44110,14951453333.333334,-649293333.3333334,66.426,68.995625,1.75,3.5216666666666665,26.938333333333333,308056.9633333333,526848175.5233333
44279,31352386666.666664,6503860000,69.708,71.29,2.5,12.45,52.355000000000004,81508.68333333333,1154987075.0366666
44378,37200428333.333336,6064928333.333333,68.56,64.706875,6.4,7.178333333333334,33.83833333333333,517774.265,6713308388.166667
44420,13263406666.666666,-302895000,65.718,57.5525,1,3.0716666666666668,12.036666666666667,1387343.1916666667,47568340.53
44430,259414240000,11362771666.666666,65.77,49.646875,8.2,59.35666666666667,26.403333333333332,77580.64666666667,5821104902.48
44560,80792833333.33333,6040018333.333333,69.564,54.34625,10.75,11.045,36.10666666666666,184872.56,6530588505.946667
44650,39070670000,4523801666.666667,72.076,64.166875,3.8,10.765,56.50833333333333,64817.6,2117105810.5
44847,273135686666.66666,3874321666.6666665,71.71000000000001,55.016875,18,48.278333333333336,24.435,237864.545,20102819386.396667
44855,15304873333.333334,819088333.3333334,63.344,75.74625,3,5.591666666666667,28.741666666666667,162666.11000000002,529557115.1933333
44874,29439305000,-2847701666.6666665,65.524,80.68312499999999,3.2,8.808333333333334,51.215,223740.04666666666,6547660695.353333
47001,692421621666.6666,21352518333.333332,78.192,68.8425,4,62.485,27.6,18005.543333333335,11054589128.375
47030,13996465000,1628693333.3333333,60.892,66.50583333333333,2,9.775,32.553333333333335,64871.57,646791139.1
